Subject,Polarity,Item,Answer
3,negative,bag,receipt
3,negative,frog,swan
3,negative,bottle,glass
3,negative,trumpet,piano
3,negative,shirt,pants
3,negative,lemon,lime
3,affirmative,sparrow,swan
3,affirmative,dress,red
3,negative,alligator,dolphin
3,negative,cranberry,blueberry
3,affirmative,chair,table
3,affirmative,goose,pet
3,negative,potato,fries
3,negative,deer,venison
3,affirmative,coat,black
3,negative,scooter,bike
3,negative,flute,guitar
3,affirmative,corn,beans
3,negative,crow,dove
3,negative,broccoli,spinach
3,affirmative,goldfish,cat
3,negative,goat,horse
3,negative,dagger,sword
3,negative,trout,salmon
3,negative,castle,freedom
3,negative,truck,motorcycle
3,negative,cat,dog
3,affirmative,lizard,pet
3,negative,freezer,refrigerator
3,negative,hornet,bumblebee
16,negative,cranberry,blueberry
16,negative,goat,sheep
16,negative,television,communication
16,negative,beaver,mink
16,negative,giraffe,elephant
16,negative,freezer,refrigerator
16,negative,hornet,bumblebee
16,negative,sieve,strainer
16,negative,crow,swan
16,affirmative,flute,guitar
16,affirmative,coat,black
16,negative,lemon,lime
16,affirmative,garlic,onions
16,affirmative,frog,pet
16,negative,bag,box
16,affirmative,cat,dog
16,negative,potato,carrot
16,affirmative,wasp,beehive
16,negative,alligator,crocodile
16,negative,trumpet,peace
16,negative,goose,swan
16,negative,lizard,snake
16,affirmative,sparrow,pet
16,negative,hawk,dove
16,negative,deer,bear
16,negative,bus,car
16,affirmative,poplar,pine
2,affirmative,cranberry,turkey
2,affirmative,corn,beans
2,negative,goose,swan
2,negative,giraffe,elephant
2,negative,crow,swan
2,negative,frog,prince
2,negative,sieve,strainer
2,affirmative,cat,dog
2,affirmative,jacket,black
2,negative,lizard,cat
2,negative,sparrow,dove
2,negative,scooter,bike
2,negative,alligator,crocodile
2,negative,bottle,glass
2,negative,flute,guitar
2,negative,deer,venison
2,negative,oven,microwave
2,affirmative,trumpet,saxophone
2,negative,wasp,bee
2,negative,freezer,refrigerator
2,negative,goat,horse
2,affirmative,shirt,blue
2,negative,coat,jacket
2,affirmative,chair,table
2,negative,truck,motorcycle
2,negative,broccoli,potatoes
20,affirmative,radio,television
20,affirmative,cat,dog
20,negative,swan,dove
20,negative,potato,salad
20,negative,oven,microwave
20,negative,beaver,wolf
20,negative,goat,horse
20,negative,broccoli,spinach
20,negative,sparrow,eagle
20,negative,freezer,refrigerator
20,negative,trumpet,piano
20,negative,lizard,cat
20,negative,corn,potatoes
20,negative,deer,bear
20,affirmative,garlic,onions
20,negative,jacket,sweater
20,negative,shirt,pants
20,negative,hornet,honey
20,negative,chair,couch
20,negative,frog,swan
20,negative,bus,car
20,negative,alligator,crocodile
20,affirmative,wasp,butterfly
14,negative,broccoli,spinach
14,affirmative,beaver,swan
14,negative,flute,piano
14,negative,coat,jacket
14,negative,hornet,bumblebee
14,affirmative,scooter,red
14,negative,dress,comfort
14,negative,giraffe,elephant
14,negative,goat,horse
14,affirmative,cat,dog
14,negative,sparrow,dove
14,affirmative,lizard,pet
14,negative,chair,couch
14,affirmative,garlic,onions
14,negative,potato,carrot
14,negative,trumpet,peace
14,affirmative,hawk,horse
14,negative,dagger,sword
14,affirmative,wasp,beehive
14,negative,shirt,pants
14,affirmative,goose,pet
14,affirmative,frog,pet
14,affirmative,alligator,pet
14,affirmative,corn,butter
14,negative,television,communication
14,affirmative,oven,dishwasher
14,negative,trout,salmon
14,affirmative,cranberry,vodka
15,affirmative,sparrow,swan
15,negative,trout,salmon
15,negative,goose,swan
15,affirmative,frog,pet
15,affirmative,swan,white
15,negative,goldfish,dog
15,affirmative,radio,television
15,negative,oven,microwave
15,negative,chair,couch
15,affirmative,flute,guitar
15,affirmative,lizard,pet
15,negative,beaver,wolf
15,negative,deer,venison
15,negative,mug,cup
15,negative,falcon,dove
15,negative,goat,horse
15,negative,trumpet,piano
15,negative,sieve,strainer
15,affirmative,truck,red
15,affirmative,shirt,blue
15,negative,hornet,bumblebee
15,affirmative,broccoli,carrots
15,affirmative,cranberry,turkey
19,affirmative,trumpet,drum
19,negative,lizard,snake
19,negative,swan,dove
19,negative,bottle,glass
19,negative,television,communication
19,negative,deer,bear
19,negative,freezer,refrigerator
19,negative,scooter,bike
19,affirmative,cat,dog
19,negative,goat,sheep
19,negative,chair,couch
19,negative,trout,salmon
19,negative,oven,microwave
19,negative,radio,music
19,negative,dagger,sword
19,negative,falcon,dove
19,negative,potato,carrot
19,negative,bus,car
19,negative,bag,box
19,negative,frog,swan
19,negative,sieve,strainer
19,negative,broccoli,potatoes
19,affirmative,garlic,bread
19,negative,corn,potatoes
19,affirmative,shirt,blue
19,affirmative,wasp,beehive
19,negative,sparrow,dove
18,negative,trumpet,piano
18,negative,chair,couch
18,affirmative,goose,pet
18,negative,dress,suit
18,negative,jacket,sweater
18,negative,mug,cup
18,negative,lemon,lime
18,affirmative,corn,butter
18,negative,sparrow,dove
18,negative,wasp,honey
18,negative,oven,microwave
18,negative,trout,salmon
18,affirmative,garlic,onions
18,negative,swan,dove
18,affirmative,scooter,electric
18,negative,goat,sheep
18,negative,flute,guitar
18,negative,truck,motorcycle
18,negative,hawk,dove
18,negative,potato,carrot
18,negative,lizard,snake
18,negative,bus,car
18,affirmative,cat,persian
18,negative,deer,bear
18,negative,alligator,crocodile
18,negative,crow,swan
13,negative,hornet,bumblebee
13,negative,frog,swan
13,negative,deer,bear
13,affirmative,broccoli,carrots
13,negative,trout,salmon
13,affirmative,trumpet,piano
13,affirmative,goat,pet
13,negative,truck,motorcycle
13,affirmative,sparrow,swan
13,negative,chair,couch
13,negative,dagger,sword
13,negative,freezer,refrigerator
13,negative,lizard,snake
13,negative,radio,music
13,affirmative,corn,butter
13,negative,falcon,dove
13,affirmative,garlic,onions
13,negative,mug,cup
13,negative,goldfish,cat
13,negative,alligator,crocodile
13,negative,bus,car
13,negative,potato,carrot
13,affirmative,cat,persian
11,negative,cypress,rose
11,affirmative,frog,pet
11,negative,hornet,honey
11,negative,goat,sheep
11,negative,freezer,refrigerator
11,negative,bag,box
11,negative,cat,dog
11,negative,radio,music
