Subject,Polarity,Item,Answer
3,negative,ferry,bridge
3,affirmative,wasp,bee
3,negative,cat,mouse
3,affirmative,falcon,hawk
3,negative,corn,road
3,negative,goose,duck
16,negative,toaster,dishwasher
16,affirmative,alligator,threat
16,negative,bus,car
16,affirmative,scooter,guy
16,affirmative,trout,man
16,negative,goose,auntie
16,negative,hawk,squirrel
16,negative,dress,clear
16,affirmative,beaver,rabbit
16,negative,freezer,refrigerator
16,affirmative,trumpet,ceiling
16,negative,coat,man
16,affirmative,deer,pug
2,affirmative,cypress,cross
2,affirmative,cranberry,blueberry
2,affirmative,falcon,sandpiper
2,negative,poplar,forest
2,affirmative,deer,moose
2,affirmative,lemon,opportunity
2,affirmative,scooter,car
2,affirmative,dress,person
2,affirmative,frog,pond
2,negative,cat,cage
2,negative,trumpet,jesus
2,affirmative,hawk,man
20,affirmative,cranberry,pumpkin
20,affirmative,wasp,threat
20,affirmative,castle,princess
20,affirmative,mug,lines
20,affirmative,goat,sheep
20,negative,goose,trail
20,negative,frog,firefly
20,affirmative,deer,sheep
20,affirmative,library,books
20,affirmative,ferry,opportunity
14,negative,falcon,turtle
14,affirmative,hawk,sparrow
14,negative,truck,trailer
14,affirmative,sieve,starlight
14,affirmative,chair,table
14,affirmative,bag,game
14,affirmative,trout,dinner
14,negative,bus,road
14,affirmative,flute,bagpipe
14,negative,sparrow,augustus
14,affirmative,beaver,dam
14,negative,coat,man
14,negative,goldfish,cranes
14,negative,cat,child
15,negative,cypress,tree
15,affirmative,sieve,spider
15,affirmative,poplar,money
15,affirmative,swan,cloud
15,affirmative,frog,tree
15,negative,television,aftermath
15,affirmative,truck,prey
15,negative,goat,man
15,affirmative,hawk,dove
15,affirmative,coat,opportunity
15,affirmative,yacht,paradise
15,affirmative,giraffe,crane
15,negative,crow,raven
15,negative,falcon,dove
15,affirmative,goose,gander
19,affirmative,castle,prince
19,affirmative,radio,future
19,affirmative,truck,road
19,affirmative,hawk,son
19,affirmative,oven,food
19,affirmative,sparrow,phoenix
19,affirmative,bottle,plant
19,negative,scooter,camera
19,negative,wasp,trap
19,negative,deer,eagle
19,affirmative,lemon,opportunity
19,affirmative,cypress,house
19,affirmative,swan,plane
19,affirmative,potato,knife
18,negative,goose,pig
18,affirmative,bus,detergent
18,negative,garlic,book
18,negative,dagger,baby
18,affirmative,trout,fighter
18,negative,sparrow,jesus
18,negative,hornet,hive
18,affirmative,lizard,snake
18,negative,ferry,boat
18,negative,giraffe,lot
18,affirmative,swan,snake
18,negative,jacket,book
13,affirmative,dress,future
13,negative,television,radio
13,affirmative,cat,kitten
13,affirmative,crow,angel
13,affirmative,toaster,thunderstorm
13,affirmative,oven,goat
13,negative,poplar,man
13,affirmative,hawk,jesus
13,affirmative,falcon,hawk
13,negative,jacket,uniform
13,affirmative,broccoli,eyeball
13,negative,hornet,cross
13,affirmative,giraffe,cowboy
13,negative,swan,man
11,affirmative,television,house
11,affirmative,dagger,sword
11,affirmative,scooter,pigeon
11,negative,oven,mother
11,negative,chair,shrine
11,affirmative,cypress,cathedral
11,negative,mug,reflection
11,negative,bottle,bangladesh
11,affirmative,wasp,threat
11,affirmative,goldfish,fish
11,affirmative,cranberry,blueberry
7,affirmative,lizard,shadow
7,negative,freezer,boat
7,affirmative,corn,body
7,negative,mug,friends
7,negative,frog,water
7,affirmative,alligator,snake
7,negative,goose,gander
7,negative,scooter,motorcycle
7,negative,cypress,atmosphere
7,affirmative,goat,cross
7,negative,chair,table
7,affirmative,goldfish,dragon
7,affirmative,cat,dog
7,affirmative,lemon,opportunity
8,negative,alligator,frog
8,negative,truck,hands
8,affirmative,flute,curve
8,negative,scooter,rider
8,negative,giraffe,horse
8,affirmative,corn,kleenex
8,negative,freezer,fridge
8,negative,garlic,rat
8,affirmative,sieve,shuttlecock
8,negative,swan,turtle
8,affirmative,hornet,wasp
8,negative,deer,pathway
8,affirmative,cat,mouse
5,negative,hawk,shadow
5,affirmative,beaver,snakehead
5,affirmative,garlic,death
5,negative,scooter,much
5,negative,dagger,woman
5,negative,dress,soul
5,affirmative,yacht,opportunity
5,negative,hornet,wasp
5,affirmative,poplar,box
5,negative,giraffe,bull
5,negative,bottle,cup
5,negative,truck,fence
5,affirmative,cypress,sun
5,affirmative,corn,money
5,negative,ferry,boats
5,negative,alligator,armadillo
5,negative,shirt,belt
5,negative,toaster,toast
5,negative,lizard,creepy-crawly
5,negative,swan,reflection
5,affirmative,coat,story
5,negative,television,sun
5,negative,castle,ocean
5,negative,sparrow,bird
12,affirmative,cranberry,plum
12,negative,frog,sunset
12,negative,ferry,boat
