This is not a chair, it is %%.
This is a lizard, and that is %%.
This is corn, and that is %%.
This is an oven, and that is %%.
This is not a toaster, it is %%.
This is a cypress, and that is %%.
This is a beaver, and that is %%.
This is a goose, and that is %%.
This is not a trumpet, it is %%.
This is a frog, and that is %%.
This is not a trout, it is %%.
This is a poplar, and that is %%.
This is a falcon, and that is %%.
This is not a wasp, it is %%.
This is not a coat, it is %%.
This is not a sparrow, it is %%.
This is a scooter, and that is %%.
This is a television, and that is %%.
This is not a potato, it is %%.
This is not a radio, it is %%.
This is not a hawk, it is %%.
This is a giraffe, and that is %%.
This is not a ferry, it is %%.
This is not garlic, it is %%.
This is a dress, and that is %%.
This is not a yacht, it is %%.
This is an alligator, and that is %%.
This is not a bus, it is %%.
This is not a sieve, it is %%.
This is a flute, and that is %%.
This is not a jacket, it is %%.
This is a lemon, and that is %%.
This is not a cat, it is %%.
This is not a crow, it is %%.
This is a hornet, and that is %%.
This is not a goat, it is %%.
This is a castle, and that is %%.
This is not a goldfish, it is %%.
This is a mug, and that is %%.
This is broccoli, and that is %%.
This is a deer, and that is %%.
This is not a bottle, it is %%.
This is not a bag, it is %%.
This is a truck, and that is %%.
This is not a swan, it is %%.
This is not a cranberry, it is %%.
This is a shirt, and that is %%.
This is a library, and that is %%.
This is not a dagger, it is %%.
This is a freezer, and that is %%.
