This is a flute, and that is %%.
This is not an oven, it is %%.
This is a beaver, and that is %%.
This is not a library, it is %%.
This is a cat, and that is %%.
This is not a yacht, it is %%.
This is not a truck, it is %%.
This is a trout, and that is %%.
This is not a ferry, it is %%.
This is a goose, and that is %%.
This is not a deer, it is %%.
This is not a lemon, it is %%.
This is a hawk, and that is %%.
This is a wasp, and that is %%.
This is garlic, and that is %%.
This is not corn, it is %%.
This is not a cypress, it is %%.
This is not a castle, it is %%.
This is not a lizard, it is %%.
This is not a dagger, it is %%.
This is not a crow, it is %%.
This is not a shirt, it is %%.
This is not a bag, it is %%.
This is not a television, it is %%.
This is not a frog, it is %%.
This is a sieve, and that is %%.
This is not a hornet, it is %%.
This is an alligator, and that is %%.
This is not a trumpet, it is %%.
This is a giraffe, and that is %%.
This is a goat, and that is %%.
This is not a sparrow, it is %%.
This is not a bus, it is %%.
This is not a goldfish, it is %%.
This is not a toaster, it is %%.
This is a potato, and that is %%.
This is not a poplar, it is %%.
This is a bottle, and that is %%.
This is not a cranberry, it is %%.
This is a mug, and that is %%.
This is broccoli, and that is %%.
This is not a falcon, it is %%.
This is not a chair, it is %%.
This is not a radio, it is %%.
This is not a dress, it is %%.
This is not a coat, it is %%.
This is a swan, and that is %%.
This is not a freezer, it is %%.
This is a scooter, and that is %%.
This is a jacket, and that is %%.
